Observation,Analytical,Creative,Scientific,Teamwork,Numbers,Logical,Helping,WorkingAlone,Writing,Leadership,PublicSpeaking,Languages,HandsOn,DetailOriented,ExploringIdeas,Structured,Technology,Outdoor,Pressure,Debate,Major
1,yes,no,yes,no,yes,yes,no,yes,no,yes,no,no,yes,no,yes,yes,no,no,yes,yes,Computer Science
2,no,yes,no,yes,no,no,yes,no,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,Arts
3,yes,no,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,Engineering
4,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,Business
5,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,yes,Business
6,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,Computer Science
7,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,Arts
8,yes,no,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,no,yes,no,yes,no,yes,yes,Engineering
9,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,Business
10,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,Business
11,yes,no,yes,no,yes,yes,no,yes,no,yes,no,no,yes,no,yes,no,no,no,yes,yes,Computer Science
12,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,yes,yes,no,yes,no,no,Arts
13,yes,no,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,no,yes,yes,Engineering
14,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,Business
15,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,Business
16,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,yes,Computer Science
17,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,Arts
18,yes,no,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,no,yes,no,yes,no,yes,yes,Engineering
19,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,Business
20,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,Business
21,yes,no,yes,no,yes,yes,no,yes,no,yes,no,no,yes,no,yes,no,no,no,yes,yes,Computer Science
22,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,yes,yes,no,yes,no,no,Arts
23,yes,no,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,no,yes,yes,Engineering
24,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,Business
25,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,Business
26,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,yes,Computer Science
27,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,Arts
28,yes,no,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,no,yes,no,yes,no,yes,yes,Engineering
29,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,Business
30,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,Business